date_key,calendar_date,fiscal_variant,fiscal_variant_desc,calendar_yr,calendar_yr_desc,calendar_yr_and_half_yr,calendar_yr_and_half_yr_desc,calendar_yr_and_qtr,calendar_yr_and_qtr_desc,calendar_yr_and_mo,calendar_yr_and_mo_desc,calendar_yr_and_wk,calendar_yr_and_wk_desc,fiscal_yr,fiscal_yr_desc,fiscal_yr_and_half_yr,fiscal_yr_and_half_yr_desc,fiscal_yr_and_per,fiscal_yr_and_per_desc,fiscal_yr_and_qtr,fiscal_yr_and_qtr_desc,fiscal_yr_and_wk,fiscal_yr_and_wk_desc,fiscal_wk_and_per,fiscal_wk_and_per_desc,fiscal_wk_and_qtr,fiscal_wk_and_qtr_desc,day_name,fiscal_currnt_qtd,fiscal_currnt_yr_to_dt_flg,fiscal_yr_and_per_long_desc,fiscal_yr_key,fiscal_yr_and_qtr_key,fiscal_yr_and_per_key,fiscal_yr_and_wk_key,fiscal_yr_flag,fiscal_yr_and_qtr_flag,fiscal_yr_and_per_flag,fiscal_yr_and_wk_flag,fiscal_wk_in_qtr,fiscal_wk_in_yr,fiscal_per_name,fiscal_per_name_and_qtr,fiscal_per_id,fiscal_per_id_and_qtr,fiscal_qtr_id,fiscal_qtr_name,fiscal_wk_in_per,fiscal_weeks_in_per,fiscal_weeks_in_qtr,fiscal_weeks_in_yr,fiscal_days_in_per,fiscal_days_in_qtr,fiscal_days_in_yr,fiscal_day_in_wk,fiscal_day_in_per,fiscal_day_in_qtr,fiscal_day_in_yr,fiscal_qtr_qtd_flag,fiscal_yr_ytd_flag,fiscal_qtr_qtcw_flag,fiscal_yr_ytcw_flag,fiscal_per_ptd_flag,fiscal_per_ptcw_flag,fiscal_wk_ending_date,fiscal_prv_yr_flag,fiscal_prv2_yr_flag,fiscal_prv3_yr_flag,fiscal_prv4_yr_flag,fiscal_prv5_yr_flag,fiscal_prv6_yr_flag,fiscal_prv_wk_flag,fiscal_prv2_wk_flag,fiscal_prv3_wk_flag,fiscal_prv4_wk_flag,fiscal_prv5_wk_flag,fiscal_prv6_wk_flag,fiscal_yr_ytp_flag,fiscal_yr_ytq_flag,fiscal_yr_ytfw_flag,fiscal_qtr_qtp_flag,fiscal_qtr_qtfw_flag,fiscal_per_ptfw_flag,fiscal_per_in_qtr,date_yyyymmdd,date_date,fiscal_nxt_qtd,fiscal_nxt_yr_flag,prv_qtr_flag,prv_yr_currnt_qtd_flag,fiscal_yr_and_per_yyyyppp,prv_qtd2_flag,prv_qtd3_flag,fiscal_nxt2_qtd,fiscal_nxt3_qtd,prv_qtd1_flag,fiscal_nxt1_qtd,fiscal_curr_prv5_yr_qtr_flag,fiscal_curr_prv3_yr_qtr_flag,fiscal_curr_prv7_yr_qtr_flag,fiscal_prv_curr_yr_to_dt_flag,fiscal_currnt_ptd,day_bucket,fiscal_wk_bucket,fiscal_per_bucket,fiscal_qtr_bucket,fiscal_yr_bucket,row_insertion_dttm
20230911,2023-09-11 00:00:00.000000000,A1,Adobe Fiscal Year Variant,2023,2023,20232,2023H2,20233,2023Q3,202309,2023-SEP,202337,2023-37,2023,2023,20232,2023H2,202310,2023-10,20234,2023-Q4,202341,2023-41,202302,2023-02,202302,2023-02,MONDAY,N,N,2023-SEP,20231201,20231201,20230929,20230915,N,N,N,N,02,41,SEP,SEP-Q4,10,10-Q4,4,Q4,2.0000000,4.0000000,13.0000000,52.0000000,28.0000000,91.0000000,364.0000000,3.0000000,10.0000000,10.0000000,283.0000000,Y,N,Y,N,Y,Y,2023-09-15 00:00:00.000000000,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,Y,Y,1.0000000,20230911,2023-09-11,N,N,N,N,2023010,N,N,N,N,N,N,N,N,N,N,N,2006,287,66,22,5,16:33:58
20230912,2023-09-12 00:00:00.000000000,A1,Adobe Fiscal Year Variant,2023,2023,20232,2023H2,20233,2023Q3,202309,2023-SEP,202337,2023-37,2023,2023,20232,2023H2,202310,2023-10,20234,2023-Q4,202341,2023-41,202302,2023-02,202302,2023-02,TUESDAY,N,N,2023-SEP,20231201,20231201,20230929,20230915,N,N,N,N,02,41,SEP,SEP-Q4,10,10-Q4,4,Q4,2.0000000,4.0000000,13.0000000,52.0000000,28.0000000,91.0000000,364.0000000,4.0000000,11.0000000,11.0000000,284.0000000,Y,N,Y,N,Y,Y,2023-09-15 00:00:00.000000000,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,Y,Y,1.0000000,20230912,2023-09-12,N,N,N,N,2023010,N,N,N,N,N,N,N,N,N,N,N,2007,287,66,22,5,16:33:58
20230913,2023-09-13 00:00:00.000000000,A1,Adobe Fiscal Year Variant,2023,2023,20232,2023H2,20233,2023Q3,202309,2023-SEP,202337,2023-37,2023,2023,20232,2023H2,202310,2023-10,20234,2023-Q4,202341,2023-41,202302,2023-02,202302,2023-02,WEDNESDAY,N,N,2023-SEP,20231201,20231201,20230929,20230915,N,N,N,N,02,41,SEP,SEP-Q4,10,10-Q4,4,Q4,2.0000000,4.0000000,13.0000000,52.0000000,28.0000000,91.0000000,364.0000000,5.0000000,12.0000000,12.0000000,285.0000000,Y,N,Y,N,Y,Y,2023-09-15 00:00:00.000000000,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,Y,Y,1.0000000,20230913,2023-09-13,N,N,N,N,2023010,N,N,N,N,N,N,N,N,N,N,N,2008,287,66,22,5,16:33:58
20230909,2023-09-09 00:00:00.000000000,A1,Adobe Fiscal Year Variant,2023,2023,20232,2023H2,20233,2023Q3,202309,2023-SEP,202336,2023-36,2023,2023,20232,2023H2,202310,2023-10,20234,2023-Q4,202341,2023-41,202302,2023-02,202302,2023-02,SATURDAY,N,N,2023-SEP,20231201,20231201,20230929,20230915,N,N,N,N,02,41,SEP,SEP-Q4,10,10-Q4,4,Q4,2.0000000,4.0000000,13.0000000,52.0000000,28.0000000,91.0000000,364.0000000,1.0000000,8.0000000,8.0000000,281.0000000,Y,N,Y,N,Y,Y,2023-09-15 00:00:00.000000000,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,Y,Y,1.0000000,20230909,2023-09-09,N,N,N,N,2023010,N,N,N,N,N,N,N,N,N,N,N,2004,287,66,22,5,16:33:58
20230910,2023-09-10 00:00:00.000000000,A1,Adobe Fiscal Year Variant,2023,2023,20232,2023H2,20233,2023Q3,202309,2023-SEP,202336,2023-36,2023,2023,20232,2023H2,202310,2023-10,20234,2023-Q4,202341,2023-41,202302,2023-02,202302,2023-02,SUNDAY,N,N,2023-SEP,20231201,20231201,20230929,20230915,N,N,N,N,02,41,SEP,SEP-Q4,10,10-Q4,4,Q4,2.0000000,4.0000000,13.0000000,52.0000000,28.0000000,91.0000000,364.0000000,2.0000000,9.0000000,9.0000000,282.0000000,Y,N,Y,N,Y,Y,2023-09-15 00:00:00.000000000,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,Y,Y,1.0000000,20230910,2023-09-10,N,N,N,N,2023010,N,N,N,N,N,N,N,N,N,N,N,2005,287,66,22,5,16:33:58
20230914,2023-09-14 00:00:00.000000000,A1,Adobe Fiscal Year Variant,2023,2023,20232,2023H2,20233,2023Q3,202309,2023-SEP,202337,2023-37,2023,2023,20232,2023H2,202310,2023-10,20234,2023-Q4,202341,2023-41,202302,2023-02,202302,2023-02,THURSDAY,N,N,2023-SEP,20231201,20231201,20230929,20230915,N,N,N,N,02,41,SEP,SEP-Q4,10,10-Q4,4,Q4,2.0000000,4.0000000,13.0000000,52.0000000,28.0000000,91.0000000,364.0000000,6.0000000,13.0000000,13.0000000,286.0000000,Y,N,Y,N,Y,Y,2023-09-15 00:00:00.000000000,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,Y,Y,1.0000000,20230914,2023-09-14,N,N,N,N,2023010,N,N,N,N,N,N,N,N,N,N,N,2009,287,66,22,5,16:33:58
20240909,2024-09-09 00:00:00.000000000,A1,Adobe Fiscal Year Variant,2024,2024,20242,2024H2,20243,2024Q3,202409,2024-SEP,202437,2024-37,2024,2024,20242,2024H2,202410,2024-10,20244,2024-Q4,202441,2024-41,202402,2024-02,202402,2024-02,MONDAY,N,N,2024-SEP,20241129,20241129,20240927,20240913,N,N,N,N,02,41,SEP,SEP-Q4,10,10-Q4,4,Q4,2.0000000,4.0000000,13.0000000,52.0000000,28.0000000,91.0000000,364.0000000,3.0000000,10.0000000,10.0000000,283.0000000,Y,N,Y,N,Y,Y,2024-09-13 00:00:00.000000000,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,Y,Y,1.0000000,20240909,2024-09-09,N,N,N,N,2024010,N,N,N,N,N,N,N,N,N,N,N,2370,339,78,26,6,16:33:58
20240910,2024-09-10 00:00:00.000000000,A1,Adobe Fiscal Year Variant,2024,2024,20242,2024H2,20243,2024Q3,202409,2024-SEP,202437,2024-37,2024,2024,20242,2024H2,202410,2024-10,20244,2024-Q4,202441,2024-41,202402,2024-02,202402,2024-02,TUESDAY,N,N,2024-SEP,20241129,20241129,20240927,20240913,N,N,N,N,02,41,SEP,SEP-Q4,10,10-Q4,4,Q4,2.0000000,4.0000000,13.0000000,52.0000000,28.0000000,91.0000000,364.0000000,4.0000000,11.0000000,11.0000000,284.0000000,Y,N,Y,N,Y,Y,2024-09-13 00:00:00.000000000,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,Y,Y,1.0000000,20240910,2024-09-10,N,N,N,N,2024010,N,N,N,N,N,N,N,N,N,N,N,2371,339,78,26,6,16:33:58
20240911,2024-09-11 00:00:00.000000000,A1,Adobe Fiscal Year Variant,2024,2024,20242,2024H2,20243,2024Q3,202409,2024-SEP,202437,2024-37,2024,2024,20242,2024H2,202410,2024-10,20244,2024-Q4,202441,2024-41,202402,2024-02,202402,2024-02,WEDNESDAY,N,N,2024-SEP,20241129,20241129,20240927,20240913,N,N,N,N,02,41,SEP,SEP-Q4,10,10-Q4,4,Q4,2.0000000,4.0000000,13.0000000,52.0000000,28.0000000,91.0000000,364.0000000,5.0000000,12.0000000,12.0000000,285.0000000,Y,N,Y,N,Y,Y,2024-09-13 00:00:00.000000000,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,Y,Y,1.0000000,20240911,2024-09-11,N,N,N,N,2024010,N,N,N,N,N,N,N,N,N,N,N,2372,339,78,26,6,16:33:58
20240912,2024-09-12 00:00:00.000000000,A1,Adobe Fiscal Year Variant,2024,2024,20242,2024H2,20243,2024Q3,202409,2024-SEP,202437,2024-37,2024,2024,20242,2024H2,202410,2024-10,20244,2024-Q4,202441,2024-41,202402,2024-02,202402,2024-02,THURSDAY,N,N,2024-SEP,20241129,20241129,20240927,20240913,N,N,N,N,02,41,SEP,SEP-Q4,10,10-Q4,4,Q4,2.0000000,4.0000000,13.0000000,52.0000000,28.0000000,91.0000000,364.0000000,6.0000000,13.0000000,13.0000000,286.0000000,Y,N,Y,N,Y,Y,2024-09-13 00:00:00.000000000,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,Y,Y,1.0000000,20240912,2024-09-12,N,N,N,N,2024010,N,N,N,N,N,N,N,N,N,N,N,2373,339,78,26,6,16:33:58
